trade_id;entry_time;entry_time_2;exit_time;direction;entry_price;entry_price_2;avg_entry_price;exit_price;entry_sma;exit_sma;event_close;event_sma;tp_price;sl_price;exit_reason;pnl;pnl_usd;filter_passed;event_timestamp;has_grid_entry
22;2025-11-04 15:36:11.021;;2025-11-04 15:36:22.021;SELL;25681,25;;25681,25;25676,25;25681,70125;25679,91375;25671,25;25684,0125;25676,25;25690,25;profit;5,0;100,0;True;2025-11-04 15:36:01.021;False
23;2025-11-04 15:44:23.021;;2025-11-04 15:44:39.021;SELL;25772,0;;25772,0;25781,0;25756,04;25760,02375;25762,0;25709,84875;25767,0;25781,0;stop;-9,0;-180,0;True;2025-11-04 15:42:01.021;False
24;2025-11-04 15:43:38.021;;2025-11-04 15:43:39.021;BUY;25752,0;;25752,0;25757,0;25744,92625;25745,21875;25762,0;25709,84875;25757,0;25743,0;profit;5,0;100,0;True;2025-11-04 15:42:01.021;False
25;2025-11-04 15:45:18.021;;2025-11-04 15:45:22.021;SELL;25777,5;;25777,5;25772,5;25765,32;25765,575;25767,5;25764,41625;25772,5;25786,5;profit;5,0;100,0;True;2025-11-04 15:45:07.021;False
26;2025-11-04 15:46:04.021;;2025-11-04 15:46:06.021;BUY;25757,5;;25757,5;25762,5;25767,0325;25767,01125;25767,5;25764,41625;25762,5;25748,5;profit;5,0;100,0;True;2025-11-04 15:45:07.021;False
27;2025-11-04 15:48:19.021;;2025-11-04 15:48:20.021;SELL;25764,5;;25764,5;25759,5;25761,33125;25761,2325;25754,5;25761,33125;25759,5;25773,5;profit;5,0;100,0;True;2025-11-04 15:48:19.021;False
28;2025-11-04 15:49:19.021;;2025-11-04 15:49:22.021;SELL;25780,75;;25780,75;25775,75;25760,35625;25760,56375;25770,75;25759,9475;25775,75;25789,75;profit;5,0;100,0;True;2025-11-04 15:49:10.021;False
29;2025-11-04 15:54:27.021;;2025-11-04 15:54:43.021;SELL;25843,5;;25843,5;25852,5;25823,08125;25826,69875;25833,5;25816,08375;25838,5;25852,5;stop;-9,0;-180,0;True;2025-11-04 15:53:55.021;False
30;2025-11-04 16:00:42.021;;2025-11-04 16:00:45.021;SELL;25884,5;;25884,5;25879,5;25864,6725;25865,025;25874,5;25859,18625;25879,5;25893,5;profit;5,0;100,0;True;2025-11-04 15:59:35.021;False
31;2025-11-04 16:00:09.021;;2025-11-04 16:00:14.021;BUY;25871,25;;25871,25;25876,25;25861,595;25861,95375;25881,25;25861,07875;25876,25;25862,25;profit;5,0;100,0;True;2025-11-04 16:00:01.021;False
32;2025-11-04 16:00:26.021;;2025-11-04 16:00:29.021;BUY;25868,5;;25868,5;25873,5;25862,8625;25863,10125;25878,5;25861,26375;25873,5;25859,5;profit;5,0;100,0;True;2025-11-04 16:00:03.021;False
33;2025-11-04 16:08:41.021;;2025-11-04 16:08:42.021;SELL;25854,5;;25854,5;25849,5;25863,32375;25863,13;25844,5;25863,32375;25849,5;25863,5;profit;5,0;100,0;True;2025-11-04 16:08:41.021;False
34;2025-11-04 16:10:13.021;;2025-11-04 16:10:52.021;BUY;25834,5;;25834,5;25839,5;25854,9825;25849,1075;25844,5;25863,32375;25839,5;25825,5;profit;5,0;100,0;True;2025-11-04 16:08:41.021;False
35;2025-11-04 16:09:23.021;;2025-11-04 16:10:05.021;SELL;25847,5;;25847,5;25842,5;25857,6175;25855,64875;25837,5;25863,13;25842,5;25856,5;profit;5,0;100,0;True;2025-11-04 16:08:42.021;False
36;2025-11-04 16:10:44.021;;2025-11-04 16:10:47.021;BUY;25827,5;;25827,5;25832,5;25850,46125;25849,8925;25837,5;25863,13;25832,5;25818,5;profit;5,0;100,0;True;2025-11-04 16:08:42.021;False
37;2025-11-04 16:22:51.021;;2025-11-04 16:23:25.021;SELL;25873,25;;25873,25;25868,25;25867,73625;25867,34;25863,25;25865,6825;25868,25;25882,25;profit;5,0;100,0;True;2025-11-04 16:22:04.021;False
38;2025-11-04 16:27:20.021;;2025-11-04 16:27:44.021;BUY;25878,75;;25878,75;25869,75;25876,5025;25878,0;25888,75;25871,35875;25883,75;25869,75;stop;-9,0;-180,0;True;2025-11-04 16:26:15.021;False
39;2025-11-04 16:41:26.021;;2025-11-04 16:41:59.021;SELL;25887,0;;25887,0;25882,0;25873,39875;25877,3425;25877,0;25865,42375;25882,0;25896,0;profit;5,0;100,0;True;2025-11-04 16:40:14.021;False
40;2025-11-04 16:47:56.021;;2025-11-04 16:48:14.021;BUY;25839,75;;25839,75;25830,75;25857,53625;25854,81;25849,75;25864,05;25844,75;25830,75;stop;-9,0;-180,0;True;2025-11-04 16:47:10.021;False
41;2025-11-04 16:48:00.021;;2025-11-04 16:49:01.021;BUY;25838,0;;25838,0;25829,0;25856,95;25848,2025;25848,0;25863,88375;25843,0;25829,0;stop;-9,0;-180,0;True;2025-11-04 16:47:11.021;False
